code,voltage
0000,13.842519685039372
0001,16.4251968503937
0002,24.54330708661417
0003,27.708661417322837
0004,36.11023622047244
0005,36.01574803149606
0006,34.503937007874015
0007,47.259842519685044
0008,46.22047244094488
0009,45.496062992125985
000a,57.05511811023622
000b,58.023622047244096
000c,64.27559055118111
000d,65.14173228346458
000e,64.92125984251969
000f,78.25984251968504
0010,81.4015748031496
0011,77.11023622047244
0012,75.66141732283465
0013,86.73228346456695
0014,85.48031496062994
0015,81.55905511811024
0016,88.55905511811024
0017,93.87401574803151
0018,96.15748031496064
0019,97.17322834645671
001a,100.48031496062994
001b,104.03937007874016
001c,107.14960629921262
001d,113.3700787401575
001e,117.30708661417323
001f,120.50393700787404
0020,125.93700787401576
0021,130.23622047244095
0022,129.75590551181105
0023,136.14960629921262
0024,139.83464566929135
0025,139.65354330708664
0026,150.77952755905514
0027,148.20472440944883
0028,157.25984251968507
0029,151.48031496062995
002a,153.39370078740157
002b,162.63779527559058
002c,162.5984251968504
002d,166.33070866141733
002e,169.81102362204726
002f,179.67716535433073
0030,175.992125984252
0031,177.42519685039372
0032,186.21259842519686
0033,192.03937007874015
0034,190.61417322834646
0035,198.1968503937008
0036,201.36220472440945
0037,208.94488188976376
0038,209.66141732283464
0039,210.74015748031493
003a,218.18897637795274
003b,212.56692913385825
003c,221.02362204724412
003d,218.86614173228344
003e,219.91338582677167
003f,232.16535433070865
0040,229.63779527559058
0041,233.4566929133858
0042,237.28346456692913
0043,241.49606299212599
0044,245.17322834645668
0045,250.65354330708664
0046,249.88188976377955
0047,257.496062992126
0048,264.11811023622045
0049,260.1259842519685
004a,260.6850393700787
004b,264.45669291338584
004c,270.48818897637796
004d,275.79527559055117
004e,282.7716535433071
004f,283.748031496063
0050,279.92125984251976
0051,289.51968503937013
0052,291.33858267716533
0053,290.748031496063
0054,298.3228346456693
0055,302.1023622047244
0056,306.62992125984255
0057,310.1338582677166
0058,314.3464566929135
0059,316.3700787401575
005a,321.984251968504
005b,322.23622047244095
005c,320.5748031496064
005d,325.9291338582678
005e,334.9527559055119
005f,334.7952755905513
0060,334.2047244094489
0061,340.38582677165357
0062,344.88188976377955
0063,348.10236220472444
0064,347.3385826771654
0065,350.7086614173229
0066,364.88188976377955
0067,363.7637795275591
0068,365.85039370078744
0069,366.1181102362205
